16:14:27 INFO | FileManager >> Коллекция загружена из файла.
16:14:27 INFO | CommandManager >> Добавлены команда 
16:14:27 INFO | Server >> Запуск сервера...
16:14:27 INFO | Server >> Сервер запущен успешно.
16:14:33 INFO | Server >> Соединение с клиентом установлено успешно.
16:14:33 INFO | Server >> Запрос info обработан успешно.
16:14:45 INFO | Server >> Клиент отключен от сервера успешно.
16:15:57 INFO | FileManager >> Коллекция загружена из файла.
16:15:57 INFO | CommandManager >> Добавлены команда 
16:15:57 INFO | Server >> Запуск сервера...
16:15:57 INFO | Server >> Сервер запущен успешно.
16:16:02 INFO | Server >> Соединение с клиентом установлено успешно.
16:16:02 INFO | Server >> Запрос info обработан успешно.
16:16:14 INFO | Server >> Клиент отключен от сервера успешно.
16:16:14 INFO | Server >> Коллекция сохранена.
16:19:20 INFO | FileManager >> Коллекция загружена из файла.
16:19:20 INFO | CommandManager >> Добавлены команда 
16:19:20 INFO | Server >> Запуск сервера...
16:19:20 INFO | Server >> Сервер запущен успешно.
16:19:26 INFO | Server >> Соединение с клиентом установлено успешно.
16:19:26 INFO | Server >> Запрос info обработан успешно.
16:19:33 INFO | Server >> Клиент отключен от сервера успешно.
16:19:33 INFO | Server >> Коллекция сохранена.
16:45:09 INFO | FileManager >> Коллекция загружена из файла.
16:45:09 INFO | CommandManager >> Добавлены команда 
16:45:09 INFO | Server >> Запуск сервера...
16:45:09 INFO | Server >> Сервер запущен успешно.
16:46:02 INFO | FileManager >> Коллекция загружена из файла.
16:46:02 INFO | CommandManager >> Добавлены команда 
16:46:03 INFO | Server >> Запуск сервера...
16:46:03 INFO | Server >> Сервер запущен успешно.
17:09:23 INFO | FileManager >> Коллекция загружена из файла.
17:09:23 INFO | CommandManager >> Добавлены команда 
17:09:23 INFO | Server >> Запуск сервера...
17:09:23 INFO | Server >> Сервер запущен успешно.
17:09:30 INFO | Server >> Соединение с клиентом установлено успешно.
17:09:30 INFO | Server >> Запрос info обработан успешно.
17:09:34 INFO | Server >> Запрос help обработан успешно.
17:12:45 INFO | FileManager >> Коллекция загружена из файла.
17:12:45 INFO | CommandManager >> Добавлены команда 
17:12:45 INFO | Server >> Запуск сервера...
17:12:45 INFO | Server >> Сервер запущен успешно.
17:12:51 INFO | Server >> Соединение с клиентом установлено успешно.
17:12:51 INFO | Server >> Запрос info обработан успешно.
17:16:52 INFO | FileManager >> Коллекция загружена из файла.
17:16:52 INFO | CommandManager >> Добавлены команда 
17:16:52 INFO | Server >> Запуск сервера...
17:16:52 INFO | Server >> Сервер запущен успешно.
17:16:58 INFO | Server >> Соединение с клиентом установлено успешно.
17:16:58 INFO | Server >> Запрос info обработан успешно.
19:29:34 INFO | FileManager >> Коллекция загружена из файла.
19:29:34 INFO | CommandManager >> Добавлены команда 
19:29:34 INFO | Server >> Запуск сервера...
19:29:34 INFO | Server >> Сервер запущен успешно.
19:29:40 INFO | Server >> Соединение с клиентом установлено успешно.
19:29:40 INFO | Server >> Запрос info обработан успешно.
19:31:02 INFO | FileManager >> Коллекция загружена из файла.
19:31:02 INFO | CommandManager >> Добавлены команда 
19:31:02 INFO | Server >> Запуск сервера...
19:31:02 INFO | Server >> Сервер запущен успешно.
19:31:07 INFO | Server >> Соединение с клиентом установлено успешно.
19:31:08 INFO | Server >> Запрос info обработан успешно.
19:31:14 INFO | Server >> Клиент отключен от сервера успешно.
20:03:17 INFO | FileManager >> Коллекция загружена из файла.
20:03:17 INFO | CommandManager >> Добавлены команда 
20:03:17 INFO | Server >> Запуск сервера...
20:03:17 INFO | Server >> Сервер запущен успешно.
20:06:21 INFO | FileManager >> Коллекция загружена из файла.
20:06:21 INFO | CommandManager >> Добавлены команда 
20:06:21 INFO | Server >> Запуск сервера...
20:06:21 INFO | Server >> Сервер запущен успешно.
20:06:28 INFO | Server >> Соединение с клиентом установлено успешно.
20:07:04 INFO | FileManager >> Коллекция загружена из файла.
20:07:04 INFO | CommandManager >> Добавлены команда 
20:07:04 INFO | Server >> Запуск сервера...
20:07:04 INFO | Server >> Сервер запущен успешно.
20:07:13 INFO | Server >> Соединение с клиентом установлено успешно.
20:07:13 INFO | Server >> Клиент отключен от сервера успешно.
20:07:23 INFO | Server >> Соединение с клиентом установлено успешно.
20:07:23 ERROR| Server >> Разрыв соединения с клиентом.
20:08:24 INFO | FileManager >> Коллекция загружена из файла.
20:08:24 INFO | CommandManager >> Добавлены команда 
20:08:24 INFO | Server >> Запуск сервера...
20:08:24 INFO | Server >> Сервер запущен успешно.
20:08:32 INFO | Server >> Соединение с клиентом установлено успешно.
20:08:33 INFO | Server >> Запрос info обработан успешно.
20:09:24 INFO | FileManager >> Коллекция загружена из файла.
20:09:24 INFO | CommandManager >> Добавлены команда 
20:09:24 INFO | Server >> Запуск сервера...
20:09:24 INFO | Server >> Сервер запущен успешно.
20:09:30 INFO | Server >> Соединение с клиентом установлено успешно.
