10:58:41 INFO | FileManager >> Коллекция загружена из файла.
10:58:41 INFO | CommandManager >> Добавлены команда 
10:58:41 INFO | Server >> Запуск сервера...
10:58:41 INFO | Server >> Сервер запущен успешно.
10:58:55 INFO | Server >> Соединение с клиентом установлено успешно.
10:58:55 INFO | Server >> Запрос обработан успешно.
10:59:05 INFO | Server >> Запрос обработан успешно.
11:00:49 INFO | FileManager >> Коллекция загружена из файла.
11:00:49 INFO | CommandManager >> Добавлены команда 
11:00:49 INFO | Server >> Запуск сервера...
11:00:49 INFO | Server >> Сервер запущен успешно.
11:00:53 INFO | Server >> Соединение с клиентом установлено успешно.
11:00:53 INFO | Server >> Запрос обработан успешно.
11:01:02 INFO | Server >> Запрос обработан успешно.
11:01:05 INFO | Server >> Запрос обработан успешно.
11:34:55 INFO | FileManager >> Коллекция загружена из файла.
11:34:55 INFO | CommandManager >> Добавлены команда 
11:34:55 INFO | Server >> Запуск сервера...
11:34:55 INFO | Server >> Сервер запущен успешно.
11:35:05 INFO | Server >> Соединение с клиентом установлено успешно.
11:35:05 INFO | Server >> Запрос обработан успешно.
11:35:22 INFO | Server >> Клиент отключен от сервера успешно.
11:35:22 INFO | Server >> Коллекция сохранена.
11:36:52 INFO | FileManager >> Коллекция загружена из файла.
11:36:52 INFO | CommandManager >> Добавлены команда 
11:36:52 INFO | Server >> Запуск сервера...
11:36:52 INFO | Server >> Сервер запущен успешно.
11:36:59 INFO | Server >> Соединение с клиентом установлено успешно.
11:36:59 INFO | Server >> Запрос обработан успешно.
11:37:03 INFO | Server >> Запрос обработан успешно.
11:37:12 INFO | Server >> Клиент отключен от сервера успешно.
11:37:13 INFO | Server >> Коллекция сохранена.
11:42:17 INFO | FileManager >> Коллекция загружена из файла.
11:42:17 INFO | CommandManager >> Добавлены команда 
11:42:17 INFO | Server >> Запуск сервера...
11:42:17 INFO | Server >> Сервер запущен успешно.
11:42:24 INFO | Server >> Соединение с клиентом установлено успешно.
11:42:24 INFO | Server >> Запрос обработан успешно.
